Garden Name,Garden Address,Location 1
1101 Norton Community Garden,1101 Norton,"1101 Norton
Kansas City, MO 64127
(39.09924000800049, -94.53456039299965)"
45th Street Community Garden,45th & Rainbow,"45th &amp; Rainbow
Kansas City, KS 66103
(39.05655422700045, -94.62731678399967)"
5008 Community Garden,5008 Prospect,"5008 Prospect
Kansas City, MO 64130
(39.034970306000446, -94.55467002499967)"
5415 Garden,5415 St. John Avenue,"5415 St. John Avenue
Kansas City, MO 64123
(39.11244055500049, -94.51804012099967)"
63rd Street Community Garden - REAP,9400 East 63rd Street,"9400 East 63rd Street
Raytown, MO 64133
(39.00864065400049, -94.47021003199967)"
3P Community Garden,9301 E. 87th Street,"9301 E. 87th Street
Raytown, MO 64138
(38.96555105500045, -94.47379017299966)"
Adonai Garden,601 West 70th Terrace,"601 West 70th Terrace
Kansas City, MO 64113
(39.00063113900046, -94.59723072699967)"
AllforOne Poor Kids International,85th & Kentucky,"85th &amp; Kentucky
Raytown, MO 64138
(38.97012337700045, -94.47911733499967)"
All Nations Demo Garden,13009 East 8th Street,"13009 East 8th Street
Grandview, MO 64030
(38.8887410640005, -94.53613095499969)"
Apostle Santa Fe Doctrine Fellowship,3044 Indiana,"3044 Indiana
Kansas City, MO 64128
(39.06973005700047, -94.5436300079997)"
Audrey's Gardens,29 S. 10th Street,"29 S. 10th Street
Kansas City, KS 66102
(39.09931029800049, -94.63542082199967)"
Avondale Community Garden,3135 NE Winn Road,"3135 NE Winn Road
Kansas City, MO 64117
(39.160281015000464, -94.54341107499965)"
AYS Youth Garden,Confidential,"Confidential
Kansas City, KS 66117
(39.117584174000456, -94.62274583799967)"
Back 2 Life Ministries,3641 Tracy,"3641 Tracy
Kansas City, MO 64109
(39.05986075800047, -94.56956096999966)"
Beacon Hill Community Garden,2901 Tracy,"2901 Tracy
Kansas City, MO 64108
(39.077654372000495, -94.56834600799965)"
Bessie's House Community Garden,611 Brighton,"611 Brighton
Kansas City, MO 64124
(39.104840100000445, -94.52346045799965)"
Bethel Neighborhood Center,14 South 7th Street,"14 South 7th Street
Kansas City, KS 66101
(39.102060796000444, -94.62622099899966)"
