County,Town/City,Name:,Open Days,Opens Days/Months,Contact Person,Mailing Address,"City, State Zip Code",Email,Website,Phone,Location,Directions
Clay,"Briarcliff Village, Kansas City",Briarcliff Farmers' Market,"Thursdays, 3:00 p.m. – 7:00 p.m.","May 6 – September 30, 2010",Kasey Rausch,4175 Mulberry Dr,"Kansas City, MO 64116",kaseyr@greenacres.com,http://www.briarcliffvillagekc.com,816-746-0010 ext. 206,"4175 Mulberry Dr
Kansas City, MO 64116
(39.16999657434681, -94.59919866017759)","Hwy 169 & Briarcliff Pkwy. Just 5 minutes north of downtown across the Broadway Bridge. Hwy 169 exit off of Hwy 29 coming from the North. The market is located in the center of Briarcliff Village next to GreenAcres, Trezo Mare & the Café"
Clay,Gladstone,Gladstone Farmers' Market,Wednesdays 2:00 p.m.-6:00 p.m.,May 18 through September 21,Becky Jarrett,7010 N. Holmes,"Gladstone, MO 64118",beckyj@gladstone.mo.us,http://www.facebook.com/pages/Gladstone-Farmers-Market/107406389284555,816-436-2200,"525 70th Street
Gladstone, MO 64118
(39.2209755488406, -94.57468377067912)","525 NE 70th Street; Gladstone, MO"
Clay,Liberty,Historic Downtown Liberty Farmers' Market,"Saturdays, 7:00 a.m. – 12:00 p.m.",May - October,Patrick McDowell,"Liberty's Courthouse Square, (Franklin, Main, Kansas, and Water Streets)","Liberty, MO 64068",,http://www.historicdowntownliberty.org,816-781-3575,"100 Mississippi Street
Liberty, MO 64068
(39.2481875540891, -94.42172388786975)",Saturday: Liberty's Courthouse Square.
Clay,North Kansas City,North Kansas City Farmers’ Market,Open 7:00 am to 1:00 pm Fridays,May 6 - October 28,Rick Groves,406 Armour Rd,"North Kansas City, MO 64116",richard@nkcbusinesscouncil.com,,816-472-7700 or 816-345-9339,"2010 Howell Street
Kansas City, MO 64116
(39.1433086190321, -94.57266609726742)","Located at 7th & Armour Road, NKCMO 64116 (adjacent to Dairy Queen, NKC City Hall)"
Jackson,Kansas City,The Farmers' Community Market at Brookside,"Saturdays, 8:00 a.m. - 1:00 p.m.",Starting April 11,Tim Walters,P.O. Box 7088,"Kansas City, MO 64113",information@farmerscommunitymarket.com,http://www.farmerscommunitymarket.com,816-719-0469,"6321 Wornall Rd
Kansas City, MO 64113
(39.013491484102644, -94.59311668021371)",Located at the Border Star Montessori School at 63rd and Wornall Road in Brookside.
Jackson,Kansas City,KC Organics and Natural Market,"Saturdays, 8:00 a.m. - 12:30 p.m.","May - mid-October*, *Contact market for winter hours and days.",Peter Stauffer,5725 MCGee,"Kansas City, MO 64113",kcorganics@yahoo.com,http://www.kcorganics.com,816-444-FOOD(3663),"11215 Holmes Rd
Kansas City, MO 64131
(38.922510814057766, -94.58354895910189)",Located one mile south of I-435 on Holmes Road then east on Red Bridge Road in Minor Park.
Jackson,Kansas City,City Market,"Summer Farmers’ Market Hours* - March - October; Saturdays 6:00 a.m. - 3:00 p.m., Sundays 8:00 a.m. - 3:00 p.m., Wednesdays 10:00 a.m. - 2:00 p.m.","Winter Farmers’ Market Hours* - November - March; Saturdays 7:00 a.m. - 3:00 p.m., Sundays 7:00 a.m. - 3:00 p.m., Wednesdays 8:00 a.m. - 2:00 p.m., *City Market special events may require an early closing.",Deb Connors,"20 East Fifth Street, Suite 201","Kansas City, MO 64106",dconnors@cwbkc.com,http://www.thecitymarket.org,816-842-1271,"20 E 5th Street
Kansas City, MO 64106
(39.10858579548085, -94.58163233789958)","From I-35, exit at Broadway. Take 6th Street to Walnut and go north two blocks to 5th Street. Missouri's Market of the Year - 2008, ""Where the Locals Go"""
Jackson,Kansas City,Westport Plaza Farmer's Market,"Wednesdays, 4:30 p.m. - 7:30 p.m.",May - October,David Bennett,"Kansas City, MO",,freelingd@yahoo.com,http://www.farmersmarketkc.org,913-432-4101,"1700 WESTPORT RD
KANSAS CITY, MO 64111
(39.05022878899956, -94.60586007336889)",Located at Westport Rd.and Wyoming St.
Jackson,Kansas City,Bannister Federal Complex Farmers' Market,"Tuesdays, 10:30 a.m. - 1:30 p.m.",June 9th - September 29th,Debbie Crow,6501 Beacon Drive,"Kansas City, MO 64133",deborah.crow@kcc.usda.gov,,816-926-3039,"9101 TROOST AVE
Kansas City, MO 64131
(38.9616725487744, -94.57727062605744)","From either I-435 North or South, take the Bannister Road exit. Go west approximately 2.5 miles. Turn right (north) onto Troost Avenue. Turn right at the first stoplight. Located in the Bannister Federal Complex parking lot."
Jackson,Kansas City,Troostwood Youth Garden Market,"Saturdays, 8:00 a.m. - 2:00 p.m.","May - October, Youth are providing fresh and healthy vegetables from A to Z.",Ericka Wright,5142 Paseo,"Kansas City, MO 64110",troostwood@kcfoodcircle.org,http://www.troostwoodyouthgarden.info/,816-444-5788,"5142 Paseo
Kansas City, MO 64110
(39.03265603654705, -94.5676838532251)","Located at 52nd and Paseo Boulevard in Kansas City, Missouri."
Jackson,Kansas City,South Kansas City's Farmers' Market,Saturdays and Sundays 9:00 a.m. to 3:00 p.m.,June- November,Wardell Williams,2917 E. 29th Street,"Kansas City, MO 64128",skcmofm@gmail.com,,816-507-4796,"8701 Blue Ridge Blvd
Kansas City, MO 64138
(38.966340030106494, -94.49962316204767)",1 Block West of Blue Ridge Blvd. & 87th Street
Jackson,Kansas City,BADSEED Funky Friday Night Farmers’ Market,"Fridays, 4:30 to 9 p.m.",May - November 20th. *This market operates during the winter. Call or contact the market for winter hours and days.,Brooke Salvaggio,1909 McGee,"Kansas City, MO 64108",badseedfarm@hotmail.com,http://www.badseedfarm.com,913-522-3458,"1909 McGee
Kansas City, MO 64108
(39.089906876932275, -94.58018442943239)",In the Crossroads district of Downtown Kansas City
Jackson,Kansas City,Grand Court Four Seasons Farmers' Market,"Saturdays, all year",,Tena Bellovich,10530 Askew Ave.,"Kansas City, MO 64137",bellovicht@umkc.edu,,816-966-9446,"10641 WORNALL RD
KANSAS CITY, MO 64114
(38.934468803697875, -94.59660141974433)",107th Street and Wornall Road. Just south of I-435 on Wornall.
Jackson,Raytown,Raytown City Center Market,"Saturdays, 7:00 a.m. - sell out",June - November,Graham Cummings,10012 E. 63rd Street,"Raytown, MO 64133",gcummings@kc.rr.com,,816-590-6817,"6224 Blue Ridge Blvd
Raytown, MO 64133
(39.01006238767594, -94.46173555778245)",Located on the West Side of the Old First Baptist Church at 6224 Blue Ridge Blvd.
Platte,Kansas City,Zona Rosa Farmers' Market,"Tuesdays, 4:00 p.m. - 8:00 p.m. or sell out",June - September,Brenda Noorbakhsh,8640 N. Dixson Avenue,"Kansas City, MO 64153",bnoorbakhsh@steiner.com,http://www.zonarosa.com,816-587-8180,"7500 85TH TER
Kansas City, MO 64153
(39.249617476115645, -94.66767047644271)",Located at I-29 and Barry Road in Kansas City North in the large parking lot just south of 86th Street.
