Business DBA,Business Type,Location 1
1822 ULTRA LOUNGE,RESTAURANT-BAR,"1818 1822 MAIN STREET
64108
(39.09096085900046, -94.58362111999969)"
54TH STREET GRILL #1,RESTAURANT-BAR,"7200 86TH TERRACE
64153
(39.2507793690005, -94.66341185999966)"
54TH STREET GRILL #2,RESTAURANT-BAR,"303 ENGLEWOOD ROAD
64116
(39.157762440000454, -94.57280868899966)"
54TH STREET GRILL #5,RESTAURANT-BAR,"9251 BARRY ROAD
64157
(39.24465427600046, -94.46585507799966)"
64 TAVERN AND GRILL,RESTAURANT-BAR,"6312 CHATHAM ROAD
64151
(39.2162418690005, -94.63441652299969)"
7 HUNDRED,RESTAURANT-BAR,"700 SOUTHWEST BLVD
64108
(39.08516027000047, -94.5931009469997)"
75TH STREET BREWERY,RESTAURANT-BAR,"512 520 W 75TH STREET
64114
(38.99255437800048, -94.59611022799965)"
801 CHOPHOUSE,RESTAURANT-BAR,"71 14TH STREET
64105
(39.09722897500046, -94.58410530299966)"
9TH INNING SPORT BAR & GRILL,RESTAURANT-BAR,"1512 18TH STREET
64108
(39.09125400300047, -94.5642700249997)"
ABARROTES LORE,RESTAURANT-BAR,"1205 HARDESTY
64126
(39.093543258000466, -94.50068594299967)"
ABUELO'S MEXICAN FOOD EMBASSY,RESTAURANT-BAR,"8541 PRAIRIE VIEW ROAD
64153
(39.24989055900045, -94.66114091699967)"
ACCURSO'S RESTAURANT AND CATERING,RESTAURANT-BAR,"4980 MAIN STREET
64112
(39.03702904000045, -94.58725437399966)"
AFFARE,RESTAURANT-BAR,"1911 MAIN
64108
(39.09019918000047, -94.58362261199966)"
AIXOIS,RESTAURANT-BAR,"301 55TH STREET
64113
(39.02772132000047, -94.59134759999966)"
AIXOIS BRASSERIE,RESTAURANT-BAR,"1006 WALNUT
64106
(39.102158966000445, -94.58197267299965)"
ALADDIN  HOLIDAY INN,RESTAURANT-BAR,"1215 WYANDOTTE
64105
(39.099490053000466, -94.58561111099965)"
ALAMO DRAFTHOUSE MAINSTREET,RESTAURANT-BAR,"1400 MAIN STREET
64105-2166
(39.09717050900048, -94.58331000299967)"
ALAMO RESTAURANT & LOUNGE,RESTAURANT-BAR,"5010 PARVIN ROAD
64117
(39.167051263000474, -94.52127121099966)"
ALL STAR PIZZA AND PUB,RESTAURANT-BAR,"6100 63RD TERRACE
64151
(39.20933920000044, -94.65112332499967)"
ALL-STAR GRILL AND BAR,RESTAURANT-BAR,"7210 43RD STREET
64117
(39.17071032300049, -94.49495068699969)"
AMBASSADOR HOTEL RESERVE,RESTAURANT-BAR,"1111 GRAND BLVD
64106
(39.10069073200049, -94.58086025099965)"
AMC THEATRE BARRYWOODS 24,RESTAURANT-BAR,"8101 ROANRIDGE ROAD
64151
(39.24160175300045, -94.65772660299967)"
AMC THEATRES WARD PARKWAY 14,RESTAURANT-BAR,"8600 WARD PARKWAY
64114
(38.97211338700049, -94.60567334699965)"
AMERICAN FOOD & VENDING SERVICE,RESTAURANT-BAR,"1000 50TH STREET
64110
(39.03627008100045, -94.57486031699966)"
AMERICAN FOOD & VENDING SERVICE OF MISSOURI,RESTAURANT-BAR,"4801 ROCKHILL ROAD
64110
(39.03969005500045, -94.57851074799964)"
AMERICAN FOOD & VENDING SERVICE OF MO,RESTAURANT-BAR,"4525 OAK STREET
64110
(39.03596324600045, -94.5732171199997)"
AMERICAN RESTAURANT,RESTAURANT-BAR,"200 25TH STREET
64108
(39.08172070700044, -94.58038090199966)"
ANDRE'S CONFISERIE SUISSE,RESTAURANT-BAR,"5018 MAIN STREET
64112
(39.03630004000047, -94.58725080899967)"
ANNA'S OVEN,RESTAURANT-BAR,"1809 39TH STREET
64111
(39.057278846000486, -94.60621077199966)"
ANTHONY'S RESTAURANT & LOUNGE,RESTAURANT-BAR,"701 GRAND AVENUE
64106-1606
(39.10524109500045, -94.58062057599966)"
APPLEBEE'S NEIGHBORHOOD GRILL & BAR -2,RESTAURANT-BAR,"6530 BARRY ROAD
64154
(39.246989175000465, -94.65509507499968)"
APPLEBEE'S NEIGHBORHOOD GRILL & BAR -3,RESTAURANT-BAR,"8350 CHURCH ROAD
64158
(39.24336057400046, -94.4618202639997)"
APPLEBEE'S NEIGHBORHOOD GRILL & BAR-1,RESTAURANT-BAR,"1046 103RD STREET
64114
(38.94198844400046, -94.60550541899966)"
APPLEBEE'S NEIGHBORHOOD GRILL & BAR-4,RESTAURANT-BAR,"13201 STATELINE ROAD
64145
(38.88812113600045, -94.6079607799997)"
APPLEBEE'S NEIGHBORHOOD GRILL&BAR,RESTAURANT-BAR,"4181 STERLING AVENUE
64133
(39.046294411000474, -94.44761084799967)"
"ARAMARK, SPORTS AND ENTERTAINMENT SERVICES LLC - ARROWHEAD",RESTAURANT-BAR,"1 ARROWHEAD DRIVE
64129
(39.04873086300046, -94.48629013199968)"
ARARAT TEMPLE RESTAURANT,RESTAURANT-BAR,"5100 ARARAT DRIVE
64129
(39.034121075000485, -94.50328053599969)"
ART OF PIZZA,RESTAURANT-BAR,"1801 BALTIMORE
64108
(39.0917006250005, -94.58472039799966)"
ARTHUR BRYANT'S BARBEQUE,RESTAURANT-BAR,"1727 BROOKLYN AVENUE
64127
(39.09145057900048, -94.5564007539997)"
ARTHUR BRYANTS BARBEQUE-2,RESTAURANT-BAR,"3200 AMERISTAR DRIVE
64161
(39.151010200000485, -94.47726143599965)"
AVENUES BISTRO-BROOKSIDE,RESTAURANT-BAR,"338 63RD STREET
64113
(39.01409843300047, -94.59207841599965)"
BAR LOUIE,RESTAURANT-BAR,"101 14TH STREET
64106
(39.09718063700046, -94.58210101299966)"
BAR LOUIE (ZONA ROSA),RESTAURANT-BAR,"8600 PRAIRIE VIEW ROAD
64153
(39.25051422100046, -94.66155673299966)"
BAR TWELVE,RESTAURANT-BAR,"418 422 NW ENGLEWOOD ROAD
64118
(39.196208956000476, -94.58593953699966)"
BB'S LAWNSIDE BAR-B-QUE,RESTAURANT-BAR,"1205 85TH STREET
64131
(38.97336471000045, -94.57518567299968)"
"BEASTRO CAFE, THE",RESTAURANT-BAR,"6800 ZOO DRIVE
64132
(39.00771268200049, -94.53147161899966)"
