Facility Permit #,Establishment Name,Facility Name,Facility Street No.,Facility Street Name,Facility Unit No,Facility City,Facility State,Facility Zip,Business Status,Facility Type,Permit Type,Web Site,Operational Status,Location 1
3035,7-Eleven #17258 Retail,7-Eleven #17258 Retail,319 E ,63rd St,,Kansas City,MISSOURI,64113,Open,Retail Grocery/Market Under 3000 sq. ft.,Retail Grocery/Market,,Operational,"319 63rd St
Kansas City, MO 64113
(39.01364269900046, -94.58407213699968)"
2530,QUIK TRIP #207,QUIK TRIP #207,8501 WINNER ROAD,,,KANSAS CITY,MISSOURI,64125,Open,Retail Grocery/Market 3001-30000 sq. ft.,Retail Grocery/Market,http://www.quiktrip.com,Operational,"8501 WINNER ROAD
KANSAS CITY, MO 64125
(39.10695285300045, -94.48312609399966)"
101059,CVS Pharmacy #05663,CVS Pharmacy #05663,6244 Brookside Boulevard,,,Kansas City,MISSOURI,64113,Open,Retail Grocery/Market 3001-30000 sq. ft.,Retail Grocery/Market,,Operational,"6244 Brookside Boulevard
Kansas City, MO 64113
(39.014621186000454, -94.59126351799966)"
17991,Main Street Shell Grocery (3742 Main St.),Main Street Shell Grocery (3742 Main St.),3742 MAIN ST,,,KANSAS CITY,MISSOURI,64111,Open,Retail Grocery/Market Under 3000 sq. ft.,Retail Grocery/Market,,Operational,"3742 MAIN ST
KANSAS CITY, MO 64111
(39.05853300500047, -94.58601575299969)"
100613,US Fuels LLC,US Fuels LLC,3438,Troost,,KANSAS CITY,MISSOURI,64109,Open,Retail Grocery/Market Under 3000 sq. ft.,Retail Grocery/Market,,Operational,"3438 Troost
KANSAS CITY, MO 64109
(39.06385218900044, -94.57172585099966)"
2581,QUIK TRIP #190/Retail,QUIK TRIP #190/Retail,344 W. 72ND ST.,,,KANSAS CITY,MISSOURI,64114,Open,Retail Grocery/Market 3001-30000 sq. ft.,Retail Grocery/Market,,Operational,"344 72ND ST
KANSAS CITY, MO 64114
(38.99775858200047, -94.59304996199967)"
100509,KCI Car Care Center Inc. (market),KCI Car Care Center Inc. (market),426 Paris St.,,,Kansas City,MISSOURI,64153,Open,Retail Grocery/Market Under 3000 sq. ft.,Retail Grocery/Market,,Operational,"426 Paris St
Kansas City, MO 64153
(39.30202747600049, -94.7112658799997)"
26243,PICCADILLY GIFT SHOP,PICCADILLY GIFT SHOP,10000 WORNALL RD,,,KANSAS CITY,MISSOURI,64114,Open,Retail Grocery/Market Under 3000 sq. ft.,Retail Grocery/Market,,Operational,"10000 WORNALL RD
KANSAS CITY, MO 64114
(38.94700307900047, -94.59640539299966)"
29050,TONY'S LIQUORS,TONY'S LIQUORS,3900 E 31ST ST,,,KANSAS CITY,MISSOURI,64128,Open,Retail Grocery/Market Under 3000 sq. ft.,Retail Grocery/Market,,Operational,"3900 31ST ST
KANSAS CITY, MO 64128
(39.06937746000045, -94.53736968399966)"
2906,HAPPY FOOD CENTER,HAPPY FOOD CENTER,4019 E 31ST ST,,,KANSAS CITY,MISSOURI,64128,Open,Retail Grocery/Market 3001-30000 sq. ft.,Retail Grocery/Market,,Operational,"4019 31ST ST
KANSAS CITY, MO 64128
(39.06930539400048, -94.53644641799968)"
16120,Walgreens #04222,Walgreens #04222,5400 INDEPENDENCE AVE,,,KANSAS CITY,MISSOURI,64123,Open,Retail Grocery/Market 3001-30000 sq. ft.,Retail Grocery/Market,,Operational,"5400 INDEPENDENCE AVE
KANSAS CITY, MO 64123
(39.1052378280005, -94.51895922099965)"
1809,Main Thriftway,Main Thriftway,3967,Main,,Kansas City,MISSOURI,64111,Open,Retail Grocery/Market 3001-30000 sq. ft.,Retail Grocery/Market,,Operational,"3967 Main
Kansas City, MO 64111
(39.054487062000476, -94.58579189899967)"
100488,A&M Raymore Inc.,A&M Raymore Inc.,1907 Jackson Ave. ,,,Kansas City,MISSOURI,64127,Open,Retail Grocery/Market Under 3000 sq. ft.,Retail Grocery/Market,,Operational,"1907 Jackson Ave
Kansas City, MO 64127
(39.08859805800046, -94.53343507499966)"
4708,MARSH'S SUNFRESH (Store),MARSH'S SUNFRESH (Store),4001 MILL ST.,,,KANSAS CITY,MISSOURI,64111,Open,Retail Grocery/Market 40001-60000 sq. ft.,Retail Grocery/Market,,Operational,"4001 MILL ST
KANSAS CITY, MO 64111
(39.05355848500045, -94.59380916699968)"
18342,Casey's General Store  #2329,Casey's General Store  #2329,11550 N. Main St.,,,Kansas City,MISSOURI,64155,Open,Retail Grocery/Market Under 3000 sq. ft.,Retail Grocery/Market,,Operational,"11550 Main St
Kansas City, MO 64155
(39.303760268000474, -94.57997644899967)"
11242,WALGREENS,WALGREENS,401 NE BARRY RD.,,,KANSAS CITY,MISSOURI,64155,Open,Retail Grocery/Market 3001-30000 sq. ft.,Retail Grocery/Market,,Operational,"401 BARRY RD
KANSAS CITY, MO 64155
(39.24634364500048, -94.5756107149997)"
2787,Heart of America Market,Heart of America Market,2221 E. 12TH ST ,,,KANSAS CITY ,MISSOURI,64127,Open,Retail Grocery/Market Under 3000 sq. ft.,Retail Grocery/Market,,Operational,"2221 12TH ST
KANSAS CITY, MO 64127
(39.0990027200005, -94.55572294599966)"
