Career Center Name,Address1,Address2,City,State,Zipcode,Phone,LatLng,ec_num
Arnold Career Center,3675 WEST OUTER RD,STE 102,ARNOLD,MO,63010,(636) 287-8909,"(38.413399, -90.390709)",2300
Branson Career Center,"2720 SHEPHERD HILLS EXPWY, SUITE B",,BRANSON,MO,65616,(417) 334-4156,"(36.641548, -93.217751)",2700
Cape Girardeau Career Center,1737 NORTH KINGSHIGHWAY,,CAPE GIRARDEAU,MO,63701,(573) 290-5766,"(37.3066, -89.521927)",3100
Chillicothe Career Center,601 W. MOHAWK,,CHILLICOTHE,MO,64601,(660) 646-0671,"(39.818825, -93.554596)",3400
Clinton Career Center,1661 NORTH 2ND STREET,,CLINTON,MO,64735,(660) 885-5541,"(38.389378, -93.771172)",3600
Columbia Career Center,"1500 VANDIVER DRIVE, STE 115",,COLUMBIA,MO,65202,(573) 882-8821,"(38.971054, -92.316315)",3700
Hannibal Career Center,203 NORTH 6TH STREET,,HANNIBAL,MO,63401,(573) 248-2520,"(39.708645, -91.361031)",4800
Independence Career Center,15301 EAST 23RD STREET SOUTH,,INDEPENDENCE,MO,64055,(816) 325-5890,"(39.078491, -94.39875)",5000
Jefferson City Career Center,"1716 FOUR SEASONS DRIVE, SUITE 101",,JEFFERSON CITY,MO,65101,(573) 526-8115,"(38.556774, -92.188759)",5100
Joplin Career Center,730 SOUTH WALL AVENUE,,JOPLIN,MO,64801,(417) 629-3000,"(37.083652, -94.515877)",5200
Kansas City -  Northland Career Center,3100 N.E. 83RD ST,STE 1201,KANSAS CITY,MO,64119,(816) 437-3635,"(39.102951, -94.583038)",4600
Kansas City - Fec Career Center,1740 PASEO,,KANSAS CITY,MO,64108,(816) 471-2330,"(39.091837, -94.56491)",5510
Kennett Career Center,"1100 SOUTH BY-PASS, SUITE 2",,KENNETT,MO,63857,(573) 888-4518,"(36.226009, -90.055336)",5800
Kirksville Career Center,2105 EAST NORMAL STREET,,KIRKSVILLE,MO,63501,(660) 785-2400,"(40.189816, -92.571472)",5900
Lebanon Career Center,2639 SOUTH JEFFERSON AVENUE,SUITE 1,LEBANON,MO,65536,(417) 532-6146,"(37.643196, -92.64975)",6000
Linn Creek Career Center,204 BUSINESS PARK ROAD,,LINN CREEK,MO,65052,(573) 346-1766,"(38.007263, -92.745369)",3000
Maryville Career Center,114 WEST 3RD STREET,,MARYVILLE,MO,64468,(660) 582-8980,"(40.3338, -94.873802)",6500
Nevada Career Center,621 E HIGHLAND AVE,STE 3,NEVADA,MO,64772,(417) 448-1177,"(37.858166, -94.34943)",7000
Park Hills Career Center,403 A PARKWAY DRIVE,,PARK HILLS,MO,63601,(573) 518-2431,"(37.863907, -90.499046)",7200
Poplar Bluff Career Center,1903 NORTHWOOD,,POPLAR BLUFF,MO,63901,(573) 840-9595,"(36.777828, -90.421143)",7300
Rolla Career Center,706 SOUTH BISHOP,HWY 63 SOUTH,ROLLA,MO,65401,(573) 364-7030,"(37.953171, -91.752129)",7500
Sedalia Career Center,215 EAST 5TH STREET,,SEDALIA,MO,65301,(660) 530-5627,"(38.707008, -93.226814)",7600
Sikeston Career Center,202 S. KINGSHIGHWAY,,SIKESTON,MO,63801,(573) 472-5250,"(36.875324, -89.58696)",7700
Springfield Career Center,2900 EAST SUNSHINE,,SPRINGFIELD,MO,65804,(417) 887-4343,"(37.1797899, -93.237224)",7800
St. Charles Career Center,212 TURNER BOULEVARD,,ST. PETERS,MO,63376,(636) 255-6060,"(38.84742, -90.477)",8000
St. Joseph Career Center,301 SOUTH 7TH STREET,,ST. JOSEPH,MO,64501,(816) 387-2380,"(39.764912, -94.851715)",8100
St. Louis City -  Central Career Center,4811 DELMAR BLVD.,,ST. LOUIS,MO,63108,(314) 877-0916,"(38.651421, -90.259254)",8400
St. Louis City -  Slate Career Center,1520 MARKET STREET,ROOM 3050,ST. LOUIS,MO,63103,(314) 589-8000,"(38.629302, -90.194794)",8300
St. Louis County -  Florissant Career Center,4040 SEVEN HILL DR SUITE 166,,FLORISSANT,MO,63033,(314) 475-7900,"(38.77764, -90.278006)",4400
St. Louis County - North Oaks Career Center,26 NORTH OAKS PLAZA,,ST. LOUIS,MO,63121,(314) 381-6700,"(38.701101, -90.291803)",8250
Warrenton Career Center,111 STEINHAGEN ROAD,,WARRENTON,MO,63383,(636) 456-9467,"(38.811741, -91.13974)",8700
Washington Career Center,1108 WASHINGTON SQ SHOP CTR,,WASHINGTON,MO,63090,(636) 239-6703,"(38.551521, -90.999153)",8800
West Plains Career Center,"3417 DIVISION DRIVE, SUITE 1",,WEST PLAINS,MO,65775,(417) 256-3158,"(36.776016, -91.886467)",8900
