OccupationalGrade,OccupationalCode,OccupationalTitle,EstimatedEmployment2008,ProjectedEmployment2018,NetChange20082018,PercentChange20082018,MeanAnnualWages2008,EntryAnnualWages2008,ExperiencedAnnualWages2008,20082018OpeningsGrowth,20082018OpeningsReplacement,20082018OpeningsTotal,AnnualOpeningsGrowth,AnnualOpeningsReplacement,AnnualOpeningsTotal,EducationTrainingRequired,WIARegion
F,53-7199,"Material Moving Workers, All Other",20,10,-1,-6.67%,$26630.00,$17930.00,$30980.00,0,2,2,0,0,0,Moderate-term on-the-job training,Central
F,53-7199,"Material Moving Workers, All Other",60,50,-12,-20%,$26630.00,$17930.00,$30980.00,0,7,7,0,1,1,Moderate-term on-the-job training,Kansas City Metro
F,53-7199,"Material Moving Workers, All Other",18,18,0,0%,$26630.00,$17930.00,$30980.00,0,2,2,0,0,0,Moderate-term on-the-job training,Ozark
F,53-7199,"Material Moving Workers, All Other",10,10,-1,-11.11%,$26630.00,$17930.00,$30980.00,0,1,1,0,0,0,Moderate-term on-the-job training,Southeast
F,53-7199,"Material Moving Workers, All Other",10,10,0,0%,$26630.00,$17930.00,$30980.00,0,1,1,0,0,0,Moderate-term on-the-job training,Southwest
F+,53-7199,"Material Moving Workers, All Other",0,0,0,0%,$26630.00,$17930.00,$30980.00,0,0,0,0,0,0,Moderate-term on-the-job training,West Central
F,53-7199,"Material Moving Workers, All Other",110,90,-22,-19.3%,$26630.00,$17930.00,$30980.00,0,13,13,0,1,1,Moderate-term on-the-job training,St. Louis Metro
F,53-7199,"Material Moving Workers, All Other",10,10,0,0%,$26630.00,$17930.00,$30980.00,0,1,1,0,0,0,Moderate-term on-the-job training,Northwest
F,53-7199,"Material Moving Workers, All Other",0,0,0,0%,$26630.00,$17930.00,$30980.00,0,0,0,0,0,0,Moderate-term on-the-job training,South Central
D,53-7199,"Material Moving Workers, All Other",0,10,1,25%,$26630.00,$17930.00,$30980.00,1,0,1,0,0,0,Moderate-term on-the-job training,Northeast
F,53-7121,"Tank Car, Truck, and Ship Loaders",0,0,-1,-50%,$29090.00,$18650.00,$34300.00,0,1,1,0,0,0,Moderate-term on-the-job training,South Central
F,53-7121,"Tank Car, Truck, and Ship Loaders",0,0,0,0%,$29090.00,$18650.00,$34300.00,0,1,1,0,0,0,Moderate-term on-the-job training,Northeast
F,53-7121,"Tank Car, Truck, and Ship Loaders",20,20,-3,-15.79%,$29090.00,$18650.00,$34300.00,0,6,6,0,1,1,Moderate-term on-the-job training,St. Louis Metro
F,53-7121,"Tank Car, Truck, and Ship Loaders",10,10,-1,-16.67%,$29090.00,$18650.00,$34300.00,0,2,2,0,0,0,Moderate-term on-the-job training,Central
F,53-7121,"Tank Car, Truck, and Ship Loaders",4,4,0,0%,$29090.00,$18650.00,$34300.00,0,1,1,0,0,0,Moderate-term on-the-job training,Ozark
F,53-7121,"Tank Car, Truck, and Ship Loaders",20,10,-3,-20%,$29090.00,$18650.00,$34300.00,0,4,4,0,0,0,Moderate-term on-the-job training,Southeast
F,53-7121,"Tank Car, Truck, and Ship Loaders",10,0,-1,-0.2%,$29090.00,$18650.00,$34300.00,0,1,1,0,0,0,Moderate-term on-the-job training,West Central
F,53-7121,"Tank Car, Truck, and Ship Loaders",10,10,-3,-27.27%,$29090.00,$18650.00,$34300.00,0,3,3,0,0,0,Moderate-term on-the-job training,Southwest
F,53-7121,"Tank Car, Truck, and Ship Loaders",10,10,-2,-15.38%,$29090.00,$18650.00,$34300.00,0,4,4,0,0,0,Moderate-term on-the-job training,Kansas City Metro
F,53-7121,"Tank Car, Truck, and Ship Loaders",0,0,0,0%,$29090.00,$18650.00,$34300.00,0,1,1,0,0,0,Moderate-term on-the-job training,Northwest
F+,53-7111,Shuttle Car Operators,ND,ND,0,ND,ND,ND,ND,0,0,0,0,0,0,Short-term on-the-job training,West Central
F-,53-7111,Shuttle Car Operators,ND,ND,-1,ND,ND,ND,ND,0,1,1,0,0,0,Short-term on-the-job training,Kansas City Metro
F,53-7111,Shuttle Car Operators,ND,ND,0,ND,ND,ND,ND,0,1,1,0,0,0,Short-term on-the-job training,Northeast
F-,53-7111,Shuttle Car Operators,ND,ND,-1,ND,ND,ND,ND,0,3,3,0,0,0,Short-term on-the-job training,Southeast
F,53-7111,Shuttle Car Operators,ND,ND,0,ND,ND,ND,ND,0,0,0,0,0,0,Short-term on-the-job training,Southwest
F,53-7111,Shuttle Car Operators,ND,ND,0,ND,ND,ND,ND,0,1,1,0,0,0,Short-term on-the-job training,Ozark
C,53-7081,Refuse and Recyclable Material Collectors,90,100,9,10.34%,$27580.00,$19220.00,$31760.00,9,25,34,1,3,4,Short-term on-the-job training,Southeast
C,53-7081,Refuse and Recyclable Material Collectors,70,80,8,10.96%,$27580.00,$19220.00,$31760.00,8,21,29,1,2,3,Short-term on-the-job training,Northwest
C,53-7081,Refuse and Recyclable Material Collectors,340,380,33,9.59%,$27580.00,$19220.00,$31760.00,33,100,133,3,10,13,Short-term on-the-job training,Kansas City Metro
C,53-7081,Refuse and Recyclable Material Collectors,80,90,11,13.58%,$27580.00,$19220.00,$31760.00,11,24,35,1,2,3,Short-term on-the-job training,Southwest
C,53-7081,Refuse and Recyclable Material Collectors,80,90,8,0.101265823%,$27580.00,$19220.00,$31760.00,8,23,31,1,2,3,Short-term on-the-job training,West Central
B-,53-7081,Refuse and Recyclable Material Collectors,150,180,26,17.11%,$27580.00,$19220.00,$31760.00,26,44,70,3,4,7,Short-term on-the-job training,Central
D+,53-7081,Refuse and Recyclable Material Collectors,710,760,44,6.17%,$27580.00,$19220.00,$31760.00,44,208,252,4,21,25,Short-term on-the-job training,St. Louis Metro
C,53-7081,Refuse and Recyclable Material Collectors,125,148,23,18.4%,$27580.00,$19220.00,$31760.00,23,36,59,2,4,6,Short-term on-the-job training,Ozark
F+,53-7081,Refuse and Recyclable Material Collectors,70,60,-12,-17.14%,$27580.00,$19220.00,$31760.00,0,20,20,0,2,2,Short-term on-the-job training,South Central
C,53-7081,Refuse and Recyclable Material Collectors,70,80,9,12.5%,$27580.00,$19220.00,$31760.00,9,21,30,1,2,3,Short-term on-the-job training,Northeast
F-,53-7073,Wellhead Pumpers,ND,ND,-1,ND,ND,ND,ND,0,1,1,0,0,0,Moderate-term on-the-job training,Kansas City Metro
F-,53-7073,Wellhead Pumpers,ND,ND,-1,ND,ND,ND,ND,0,1,1,0,0,0,Moderate-term on-the-job training,Southwest
