OBJECTID,DISTRICT_NAME,SHAPE,SHAPE.AREA,SHAPE.LEN
321,DREXEL R-IV,"(38.56541419900003, -94.59997781899995)",1098704883.607959985733032,
322,ARCHIE R-V,"(38.587566681000055, -94.30311200699998)",2880593001.805389881134033,
323,SHERWOOD R-VIII,"(38.62102459600004, -94.17948987399996)",2345307006.916120052337646,
324,UNKNOWN SCHOOL DISTRICT,"(38.655535257000054, -94.11641643099995)",182156842.281933009624481,
325,GUNN CITY 16,"(38.70132112700003, -94.18355000199995)",249970209.949113011360168,
326,EAST LYNNE 40,"(38.71905473700008, -94.28696011899996)",845831581.54198694229126,
327,HARRISONVILLE R-1X,"(38.719362972000056, -94.36095598299994)",2713739733.869800090789795,
328,MIDWAY R-1,"(38.72337570600007, -94.60082945399995)",1887004929.798480033874512,
329,STRASBURG C-3,"(38.81428578600003, -94.17215351499999)",1111426548.917510032653809,
330,PLEASANT HILL R-III,"(38.83503049500007, -94.26798187799994)",2078004492.049069881439209,
331,SPRING HILL UNIFIED,"(38.83601366900007, -94.84332490199995)",1280837995.055160045623779,
332,RAYMORE R-II,"(38.84089055700008, -94.46833630499998)",2833624959.556399822235107,
333,BELTON 124,"(38.84723822300003, -94.60610387799994)",1153669047.649139881134033,
334,GARDNER UNIFIED,"(38.876125036000076, -95.03739502299999)",2585173184.389709949493408,
335,GRANDVIEW 130,"(38.91965455800005, -94.60247926999995)",1032048087.958709955215454,
336,LONE JACK 200,"(38.92368688900007, -94.17103996399999)",1100743686.715569972991943,
337,BLUE VALLEY 650,"(38.935867581000025, -94.60807516699998)",2628862738.037360191345215,
338,EUDORA UNIFIED 491,"(38.943062231000056, -95.05166094599997)",113331437.315375000238419,
339,HICKMAN MILLS 140,"(38.97213722500004, -94.54343277499999)",879779997.630313038825989,
340,OLATHE UNIFIED 690,"(38.97812680700008, -94.83830277499999)",2091830840.042999982833862,
341,CENTER 120,"(38.987149345000034, -94.55683123099999)",326113162.844437003135681,
342,LEES SUMMIT 190,"(39.01279065600005, -94.39406250699994)",3216318319.765570163726807,
343,SHAWNEE MISSION 700,"(39.043985046000046, -94.73210227899995)",2086567150.750790119171143,
344,BONNER SPRINGS UNIFIED 204,"(39.04604188900004, -94.90879839399997)",151913782.669533014297485,
345,RAYTOWN 150,"(39.05849877800006, -94.44559234499997)",904102846.408607959747314,
346,DE SOTO UNIFIED 680,"(39.06063023000007, -94.85314022599994)",2600341021.446990013122559,
347,LAWRENCE UNIFIED 497,"(39.06937811500006, -95.15019003199995)",328018041.711108982563019,
348,OAK GROVE 220,"(39.09334699000004, -94.15800454899994)",856244852.511973977088928,
