CTYDIST,ELEMDIST,DNAME,DCOUNTY,DSUPAREA,DPYC,DPYAV,DPYTATL,DPHONE,DFAX,DELEMSN,DELEMST,DELEMSRS,DELEMSNS,DELEMSTS,DMIDSSN,DMIDSST,DMIDSSRS,DMIDSSNS,DMIDSSTS,DJRSN,DJRST,DJRSRS,DJRSNS,DJRSTS,DHIGHSN,DHIGHST,DHIGHSRS,DHIGHSNS,DHIGHSTS,DTOTSCHL,DTOTTECH,DTOTRES,DTOTNRES,DTOTSTU,PRESTITL,PRESLN,PRESFN,PRESMI,SECTITL,SECLN,SECFN,SECMI,SDLNAME,SDFNAME,SDMINIT,SDSALUAT,DIEMAIL,URL,MO HOUSE DISTRICTS,MO SENATE DISTRICTS,US CONGRESSIONAL DISTRICTS,Location 1,Location 2
48927,,Academy For Integrated Arts  (048-927),Jackson ,B,,,,8164441720,8164441721,,,,,,,,,,,,,,,,,,,,,,,,,,Mrs., Brown ,Lynne ,,Mrs., Conrad ,Courtney ,,Chase,Phyllis,A,Dr.,shane.knight@afiakc.org,http://www.afiakc.org,,,,"5604 Troost
Kansas City 641102824
(39.02477797557037, -94.5739791074302)",
48909,,Allen Village  (048-909),Jackson ,B,     ,,,8169310177,8165614640,1,23,436,0,436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,23,436,0,436,Mr.,Shelby ,Alan ,,Ms.,Edwards ,Amy ,,Washington ,Phyllis ,,Mrs.,,http://www.allenvillageschool.com,,,5,"706 W 42nd St.
Kansas City 641113120
(39.052540046614865, -94.59499626325493)",
48902,,Alta Vista Charter School  (048-902),Jackson ,B,     ,,,8164712582,8164712139,0,0,0,0,0,1,21,150,0,150,0,0,0,0,0,1,27,216,0,216,2,48,366,0,366,Mr.,Medina ,Cris ,,Mrs.,Tinoco ,Lisa ,,Chaurand ,Jean-Paul ,,Mr.,SHANNONSPRADLING@GMAIL.COM,http://www.altavistacharterschool.org,,,5,"1722 Holly St.
Kansas City 641082217
(39.092398323579786, -94.59811957871914)",
48926,,Crossroads Acad Of Kansas City  (048-926),Jackson ,B,,,,8162212600,8162212601,,,,,,,,,,,,,,,,,,,,,,,,,,Mr., Moore ,Richard ,,Mrs.,Crawford ,Vichareli ,,Johnson ,Dean ,,Mr.,info@crossroadsacademykc.org,http://www.crossroadsacademykc.org,,,,"1015 Central
Kansas City 641051619
(39.10127430738265, -94.58692035143184)",
48923,,Delasalle Charter School  (048-923),Jackson ,B,,,,8165614445,8165616106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,25,196,0,196,1,25,196,0,196,Mr.,Brandt ,Perry ,,Mr.,Reid ,Ryan ,,Williamson,Mark,,Mr.,LORIE@DELASALLECENTER.ORG,http://delasallecenter.org,,,,"3740 Forest Avenue
Kansas City 641092645
(39.05781007370655, -94.57087644642911)",
48917,,Derrick Thomas Academy  (048-917),Jackson ,B,     ,,,8165317144,8167538856,1,46,534,0,534,1,26,228,0,228,0,0,0,0,0,1,22,123,0,123,3,94,885,0,885,,Shelby ,Alan ,,,,,,Washington,Phyllis,,Ms.,william.harris@DERRICKTHOMASACADEMY.ORG,http://www.derrickthomasacademy.org/,,,5,"201 E Armour Boulevard
Kansas City 641111205
(39.06367365333762, -94.58307125314644)",
48924,,Ewing Marion Kauffman School  (048-924),Jackson ,B,,,,8162685661,8162685645,0,0,0,0,0,1,9,103,0,103,0,0,0,0,0,0,0,0,0,0,1,9,103,0,103,Mr.,Strom ,Robert ,,Mr.,North ,Aaron ,,Lofthus,Hannah,,Ms.,kpatacsil@KAUFFMANSCHOOL.ORG,http://www.kauffmanschool.org,,,,"4251 Bridger Road
Kansas City 641113116
(39.050714422895396, -94.59339547004282)",
48905,,Genesis School Inc.  (048-905),Jackson ,B,     ,,,8169210775,8169214268,1,13,133,0,133,0,0,0,0,0,1,8,42,0,42,1,6,47,0,47,3,27,222,0,222,Mr.,Cloverdyke ,Brad ,,Mr.,Sullivan ,Donald ,,Pearson ,Pamela ,L,Ms.,PPEARSON@GENESISSCHOOL.ORG,http://www.promiseacademykc.org,,,5,"3800 E 44th St.
Kansas City 641302168
(39.045984016932394, -94.54019164675567)",
48913,,Gordon Parks Elem.  (048-913),Jackson ,B,     ,,,8167536700,8167533436,1,26,224,0,224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,26,224,0,224,Mrs.,Lundgren ,Karen ,,Mrs.,Mcbride ,Wadandra ,,Fleming ,Steve ,,Mr.,rclark@gpes.org,http://www.gordonparks.org,,,5,"3715 Wyoming St.
Kansas City 641113945
(39.060166297423336, -94.60362076151591)",
48920,,Hope Academy  (048-920),Jackson ,B,,,,8165950820,8165950821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17,258,0,258,1,17,258,0,258,Mr.,Brooks ,Alvin ,,Dr.,Henley ,Patricia ,,Middleton,Vonnelle,,Ms.,MIDDLETONEV@ATT.NET,http://www.kchopeacademy.org,,,5,"1004 Newton Avenue
Kansas City 641262234
(39.09969319392598, -94.5041928546102)",
